GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,0,2,2,1,2,3,0,3,3
3.750-3.999,0,0,0,0,3,3,1,5,6,4,9,13
3.500-3.749,0,1,1,0,4,4,0,15,15,4,17,21
3.250-3.499,0,0,0,1,0,1,3,7,10,6,25,31
3.000-3.249,0,0,0,1,2,3,0,7,7,5,21,26
2.750-2.999,0,0,0,0,0,0,0,1,1,2,0,2
2.500-2.749,0,0,0,0,0,0,0,0,0,0,0,0
2.250-2.499,0,0,0,0,1,1,0,0,0,0,0,0
2.000-2.249,0,0,0,0,0,0,0,0,0,0,0,0
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,0,1,0,0,0,0,0,0,0,0,0
